kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
ABR-366,-8.0985798,-78.9969330,Puntos_Paraderos,green,new,,,,
ABR-367,-8.1002701,-78.9988359,Puntos_Paraderos,green,new,,,,
ALFU-535,-8.0920732,-78.9957014,Puntos_Paraderos,green,new,,,,
AMA-462,-8.1058026,-79.0225037,Puntos_Paraderos,green,new,,,,
AMEO-67,-8.1020120,-79.0445116,Puntos_Paraderos,green,new,,,,
AMEO-71,-8.1098969,-79.0477464,Puntos_Paraderos,green,new,,,,
AMEO-73,-8.1106633,-79.0476970,Puntos_Paraderos,green,new,,,,
AMEO-74,-8.1128676,-79.0479951,Puntos_Paraderos,green,merge,11910645397,Calle 26,12.0,
AMEO-75,-8.1145723,-79.0464723,Puntos_Paraderos,green,new,,,,
AMEO-76,-8.1144262,-79.0462892,Puntos_Paraderos,green,new,,,,
AMEO-82,-8.0961352,-79.0410870,Puntos_Paraderos,green,new,,,,
AMEO-84,-8.0972133,-79.0428225,Puntos_Paraderos,green,new,,,,
AMEO-85,-8.0978658,-79.0430501,Puntos_Paraderos,green,new,,,,
AMN-18,-8.0976796,-79.0159997,Puntos_Paraderos,green,new,,,,
AMN-20,-8.0960067,-79.0180196,Puntos_Paraderos,green,merge,11910518849,Avenida del Ejército,22.3,
AMN-23,-8.0983175,-79.0305376,Puntos_Paraderos,green,new,,,,
AMN-27,-8.1034995,-79.0333794,Puntos_Paraderos,green,new,,,,
AMN-34,-8.0939734,-79.0260984,Puntos_Paraderos,green,new,,,,
AMS-39,-8.1263244,-79.0343534,Puntos_Paraderos,green,new,,,,
AMS-40,-8.1164039,-79.0164486,Puntos_Paraderos,green,new,,,,
AMS-41,-8.1151359,-79.0152931,Puntos_Paraderos,green,new,,,,
AMS-44,-8.1235198,-79.0390245,Puntos_Paraderos,green,new,,,,
AMS-45,-8.1236240,-79.0392062,Puntos_Paraderos,green,new,,,,
AMS-46,-8.1250348,-79.0376479,Puntos_Paraderos,green,new,,,,"Rechazado OSM 5067622117 (lado opuesto, 27.0m). "
AMS-47,-8.1247681,-79.0377766,Puntos_Paraderos,green,merge,5067622117,Avenida Victor Larco Herrera,12.3,
AMS-48,-8.1260536,-79.0342673,Puntos_Paraderos,green,new,,,,
AMS-49,-8.1268282,-79.0310684,Puntos_Paraderos,green,merge,11910359975,Prolongación Cesar Vallejo,8.4,
AMS-50,-8.1266185,-79.0310941,Puntos_Paraderos,green,merge,11910359976,Calle Australia,5.8,
AMS-51,-8.1265640,-79.0288382,Puntos_Paraderos,green,new,,,,
AMS-52,-8.1220252,-79.0213460,Puntos_Paraderos,green,merge,11910518853,Calle Calcuchimac,2.6,
AMS-60,-8.1042910,-79.0103168,Puntos_Paraderos,green,new,,,,
AMS-61,-8.1120252,-79.0136080,Puntos_Paraderos,green,new,,,,
AMS-63,-8.1041752,-79.0106145,Puntos_Paraderos,green,new,,,,
AMS-64,-8.1115319,-79.0135767,Puntos_Paraderos,green,new,,,,
ANTO-346,-8.1161450,-79.0436952,Puntos_Paraderos,green,new,,,,
ANTO-349,-8.1115821,-79.0402851,Puntos_Paraderos,green,new,,,,
AVOC-451,-8.0894725,-79.0238086,Puntos_Paraderos,green,new,,,,
AVOC-454,-8.0895126,-79.0239216,Puntos_Paraderos,green,new,,,,
BLPAS-447,-8.1046979,-79.0077726,Puntos_Paraderos,green,new,,,,
BLPAS-448,-8.1038057,-79.0093810,Puntos_Paraderos,green,new,,,,
C20-529,-8.1211496,-79.0130634,Puntos_Paraderos,green,new,,,,
CAR-532,-8.1033285,-79.0197008,Puntos_Paraderos,green,new,,,,
CARE-400,-8.0972995,-79.0028381,Puntos_Paraderos,green,new,,,,
CARE-401,-8.0970380,-79.0028656,Puntos_Paraderos,green,new,,,,
CARW-305,-8.1150428,-79.0076784,Puntos_Paraderos,green,new,,,,
