relation_id,ref,name,n_paradas_v1,n_paradas_v2,paradas_nuevas,paradas_removidas,paradas_repetidas
19972938,M-13 C1,Ciudad de Dios → Ciudad de Dios,53,53,0,0,0
19973156,M-18 C1,Avenida Dos → Avenida Dos,68,68,0,0,0
19973224,C-42 B2,Jirón Venezuela → Avenida Libertad,47,47,0,0,0
19973251,C-42 B2,Avenida Cesar Vallejo → Avenida Libertad,48,48,0,0,0
19973922,C-42 B2,Avenida Libertad → Avenida Cesar Vallejo,36,36,0,0,0
19973932,C-42 B2,Avenida Libertad → Jirón Venezuela,43,43,0,0,0
19973941,C-34 G,Virgen del Socorro → Virgen del Socorro,67,67,0,0,0
19973946,C-15 P1,Avenida America del Sur → Sector Tres Cruces,28,28,0,0,1
19973949,C-15 P1,Sector Huayabito → Avenida America del Sur,25,25,0,0,0
19973958,C-15 P1,Avenida America del Sur → Sector Huayabito,28,28,0,0,1
19975974,M-05 H,Avenida la Paz → Avenida la Paz,79,79,0,0,4
19976195,M-21 A,Avenida 12 de Noviembre → Sector Nuevo Horizonte,62,62,0,0,0
19976301,M-15 C2,Sector Santa María Alta → Ciudad de Dios,77,77,0,0,2
19976312,M-04 A,Cerro La Virgen → Cerro La Virgen,35,35,0,0,0
19976337,M-17 C2,Avenida Dos → Avenida Dos,80,80,0,0,0
19977991,C-44 T2,Barrio 1B → Avenida San José,47,47,0,0,0
19988569,C-18 P,Avenida Cesar Vallejo → Cruce Vial S/N,31,31,0,0,0
19988589,C-38 S4,Avenida Luis Condemarín → Avenida Luis Condemarín,45,45,0,0,0
19988601,C-15 P1,Sector Tres Cruces → Avenida América Sur,25,25,0,0,0
19988606,C-15 P1,Avenida America del Sur → Sector Tres Cruces,28,28,0,0,1
19988678,C-15 P1,Sector Huayabito → Avenida America del Sur,25,25,0,0,0
19988688,C-15 P1,Avenida America del Sur → Sector Huayabito,28,28,0,0,1
19988714,C-33 P2,Sector Platanar → Avenida America del Sur,32,32,0,0,0
19988728,C-33 P2,Avenida America del Sur → Sector Platanar,36,36,0,0,1
19988797,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,59,59,0,0,0
19988815,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,48,48,0,0,0
19990111,C-11 T1,Panamericana Norte → Alto Porvenir,49,49,0,0,0
19990115,C-11 T1,Alto Porvenir → Panamericana Norte,46,46,0,0,0
19990157,C-45 C,Calle Miguiel Graú → Avenida 12 de Noviembre,62,62,0,0,0
19990165,C-45 C,Calle Miguiel Graú → Avenida 12 de Noviembre,56,56,0,0,0
19990939,C-32 S,Palermo → Sector Collambay,22,22,0,0,0
19991778,C-32 S,Sector Collambay → Palermo,30,30,0,0,1
