trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
19959184,06:10:00,06:10:00,PH-9,9,0,0
19959184,06:11:00,06:11:00,PH-10,10,0,0
19959184,06:12:00,06:12:00,PH-11,11,0,0
19959184,06:14:00,06:14:00,PH-12,12,0,0
19959184,06:15:00,06:15:00,PH-13,13,0,0
19959184,06:16:00,06:16:00,PH-14,14,0,0
19959184,06:19:00,06:19:00,PH-15,15,0,0
19959184,06:24:00,06:24:00,PH-17,16,0,0
19959184,06:26:00,06:26:00,PH-80,17,0,0
19959184,06:27:00,06:27:00,PH-81,18,0,0
19959184,06:29:00,06:29:00,PH-48,19,0,0
19959184,06:31:00,06:31:00,PH-49,20,0,0
19959184,06:32:00,06:32:00,PH-50,21,0,0
19959184,06:35:00,06:35:00,PH-52,22,0,0
19959184,06:36:00,06:36:00,PH-53,23,0,0
19959184,06:37:00,06:37:00,PH-54,24,0,0
19959184,06:38:00,06:38:00,PH-55,25,0,0
19959184,06:39:00,06:39:00,MANT-113,26,0,0
19959184,06:41:00,06:41:00,MANT-111,27,0,0
19959184,06:42:00,06:42:00,MANT-105,28,0,0
19959184,06:43:00,06:43:00,MANT-108,29,0,0
19959184,06:44:00,06:44:00,MANT-101,30,0,0
19959184,06:45:00,06:45:00,MANT-100,31,0,0
19959184,06:47:00,06:47:00,AMN-28,32,0,0
19959184,06:48:00,06:48:00,MAVE-354,33,0,0
19959184,06:49:00,06:49:00,MAVE-356,34,0,0
19959184,06:50:00,06:50:00,MAVE-357,35,0,0
19959184,06:51:00,06:51:00,ESP-15,36,0,0
19959184,06:52:00,06:52:00,ESP-13,37,0,0
19959184,06:53:00,06:53:00,ESP-11,38,0,0
19959184,06:54:00,06:54:00,EGR-265,39,0,0
19959184,06:55:00,06:55:00,EGR-263,40,0,0
19959184,06:56:00,06:56:00,EGR-262,41,0,0
19959184,06:57:00,06:57:00,EGR-260,42,0,0
19959184,06:58:00,06:58:00,RIP-327,43,0,0
19959184,06:59:00,06:59:00,RIP-325,44,0,0
19959184,07:00:00,07:00:00,RIP-323,45,0,0
19959184,07:01:00,07:01:00,ANBE-375,46,0,0
19959184,07:03:00,07:03:00,GUZBA-460,47,0,0
19959184,07:04:00,07:04:00,HOND-315,48,0,0
19959184,07:05:00,07:05:00,SB-531,49,0,0
19959184,07:11:00,07:11:00,FEVI-225,50,0,0
