osm_id,osm_type,nombre,lat,lon,pt_type,operator,network,route_ref
12121157802,node,Pasaje el Altarito,-8.1663059,-79.0100831,platform,,,
12121157803,node,Pasaje el Altarito,-8.1662634,-79.0099972,platform,,,
12121157804,node,Pasaje el Altarito,-8.1658028,-79.009957,platform,,,
11910359969,node,Pasaje las Garzas,-8.1236761,-79.039177,stop_position,,,
5315480522,node,Picaflor tours Trujillo,-8.101635,-79.0099683,bus_station,,,
12121155292,node,Plaza San Jose,-8.1444957,-78.9995098,platform,,,
11910359975,node,Prolongación Cesar Vallejo,-8.12682,-79.0311438,platform,,,
5247579921,node,Royal Palace,-8.0963682,-79.038361,bus_station,,,
11910518852,node,Santa Cruz,-8.1171401,-79.0168154,stop_position,,,
11910518833,node,Taxis Luis Albreacht,-8.1120677,-79.0350008,stop_position,,,
5041141021,node,Terminal Bus - Transportes Via,-8.1036423,-79.0224691,bus_station,,,
5750272855,node,Terminal ITTSA Bus,-8.1215358,-79.0427735,bus_station,,,
9727882976,node,Terrapuerto,-8.1372323,-79.0165248,platform,,,
4354331992,node,Tour Cascas,-8.1047557,-79.0228916,bus_station,,,
4465732889,node,Transporte CIELO AZUL,-8.047615,-79.0705632,bus_station,,,
4649094889,node,Transportes Chiclayo,-8.0982959,-79.0373561,platform,,,
4370378490,node,Transportes El Sol,-8.1068546,-79.0325321,bus_station,,,
4465732489,node,Transportes ICARO,-8.0499474,-79.0865456,bus_station,,,
633941379,node,Transportes Linea,-8.1261641,-79.0275938,bus_station,,,
6882922585,node,Transportes Primavera,-8.0981403,-79.0374516,bus_station,,,
6026236585,node,Wi-Fi y cargador,-8.1276311,-79.0413654,bus_stop,,,
4432646489,node,expreso interprovincial Dorado,-8.1213381,-79.0206723,bus_station,,,
