relation_id,ref,length_m,gap_start_m,gap_end_m,from,to,start_lat,start_lon,end_lat,end_lon,severity
19972196,C-28 C,24032,79,250,Óvalo Los Sauces,Sector Cerrito La Virgen,-8.1069780,-78.9861296,-8.0660298,-79.1099423,warning
19976312,M-04 A,19700,58,250,Cerro La Virgen,Cerro La Virgen,-8.1302637,-79.0209164,-8.0660298,-79.1099423,warning
19988815,C-28 C,24607,79,250,Óvalo Los Sauces,Sector Cerrito La Virgen,-8.1069780,-78.9861296,-8.0660298,-79.1099423,warning
19950214,M-02 A,21546,235,164,Avenida Manuel Seoane,Calle Turquesas,-8.1478411,-79.0526706,-8.0492091,-79.0533913,warning
19950139,M-02 A,22372,164,230,Calle Turquesas,Avenida Manuel Seoane,-8.0492091,-79.0533913,-8.1503953,-79.0489582,warning
19971417,M-28 A,18245,115,229,Avenida los Pajuiles,Primavera III,-8.1279873,-79.0431418,-8.0571270,-79.0467557,warning
19966264,C-06 K,24190,105,228,El Reposo,Calle Señor de Los Milagros,-7.9920742,-79.0750650,-8.0865680,-78.9939938,warning
19965057,M-31 A,20715,95,219,Avenida América Sur,Calle Nuevo Indoamérica,-8.1470976,-79.0451310,-8.0601626,-79.0442231,warning
19972027,M-31 A,20777,219,157,Calle Nuevo Indoamérica,Avenida América Sur,-8.0601626,-79.0442231,-8.1464025,-79.0459471,warning
19972041,M-32 A1-B1,37527,219,157,Sector Nuevo Indoamérica,Buenos Aires Sur,-8.0601626,-79.0442231,-8.1464025,-79.0459471,warning
19972045,M-32 A1-B1,37573,95,219,Buenos Aires Sur,Sector Nuevo Indoamérica,-8.1470976,-79.0451310,-8.0601626,-79.0442231,warning
19962362,M-25 A,15663,219,69,Calle Liverpool,Calle F,-8.1037586,-79.0427697,-8.0710228,-79.0163343,warning
19962502,M-29 B,18916,29,219,Primavera,Calle Liverpool,-8.0557496,-79.0483268,-8.1037586,-79.0427697,warning
19972495,C-37 R,17929,215,111,Rosas del Valle 1ra Etapa,Avenida Julian Arce,-8.0932644,-79.0499709,-8.0874654,-78.9625956,warning
19966215,C-03 JJ,22844,205,169,Calle Santa Rosa,Calle de los Jasmines,-8.1855395,-78.9863105,-8.0638379,-79.0798396,warning
19962272,M-19 A,12975,33,204,Calle 8,Manzana Ñ,-8.1140509,-79.0467557,-8.0482441,-79.0081578,warning
19962323,M-24 A,9109,38,198,Avenida América Sur,Avenida Libertad,-8.1000777,-79.0132303,-8.1441673,-79.0558299,ok
19962318,M-24 A,7745,197,38,Avenida Libertad,Avenida América Sur,-8.1442832,-79.0556964,-8.1000777,-79.0132303,ok
19965743,M-34 A,20312,125,197,Calle Santa Ana,Calle Los Pensamientos,-8.0131013,-79.0663081,-8.1442832,-79.0556964,ok
19965745,M-34 A,20373,197,196,Calle Los Pensamientos,Calle Santa Ana,-8.1442832,-79.0556964,-8.0124709,-79.0665501,ok
19965750,M-34 A,22951,125,197,Calle Santa Ana,Calle Los Pensamientos,-8.0131013,-79.0663081,-8.1442832,-79.0556964,ok
19965773,M-34 A,23008,197,196,Calle Los Pensamientos,Calle Santa Ana,-8.1442832,-79.0556964,-8.0124709,-79.0665501,ok
19972046,M-33 B,35676,125,196,Calle Santa Ana,Avenida América Sur,-8.0131013,-79.0663081,-8.0124709,-79.0665501,ok
19972051,M-33 B,36016,125,196,Avenida América Sur,Calle Santa Ana,-8.0131013,-79.0663081,-8.0124709,-79.0665501,ok
19966201,C-03 JJ,22254,169,196,Calle de los Jasmines,Calle Santa Rosa,-8.0638379,-79.0798396,-8.1874621,-78.9837518,ok
19966163,C-02 H,17188,187,48,Avenida Alan García,Avenida Federico Villarreal,-8.0634372,-79.0805240,-8.1032458,-79.0021649,ok
19966270,C-06 K,22554,186,12,Calle Señor de Los Milagros,El Reposo,-8.0850007,-78.9946886,-7.9930206,-79.0745743,ok
19953601,M-04 A,21665,184,58,Cerro La Virgen,Cerro La Virgen,-8.0657873,-79.1108742,-8.1302637,-79.0209164,ok
19962280,M-28 A,18000,183,117,Primavera III,Avenida los Pajuiles,-8.0567572,-79.0469554,-8.1280675,-79.0431823,ok
