nombre,lat,lon,capa,fid,elaborado,supervisor
MRFT-162,-8.10043298733711,-79.02155126784554,Puntos_Paraderos,161,Anthony Alvarado,Junior Lozano
MRFT-163,-8.100837280258222,-79.0220679102546,Puntos_Paraderos,162,Anthony Alvarado,Junior Lozano
MRFT-164,-8.102700375530713,-79.02346199658898,Puntos_Paraderos,163,Anthony Alvarado,Junior Lozano
MRFT-165,-8.102952670066784,-79.02373753805652,Puntos_Paraderos,164,Anthony Alvarado,Junior Lozano
MRFT-166,-8.104683355970552,-79.02500047401813,Puntos_Paraderos,165,Anthony Alvarado,Junior Lozano
NA-527,-8.106955385739901,-79.03486352236465,Puntos_Paraderos,526,Piero Guevara,Junior Lozano
NPT-196,-8.103076676058759,-79.03520966350197,Puntos_Paraderos,195,Gustavo Sevillano,Junior Lozano
NPT-197,-8.103497818868442,-79.03534041943408,Puntos_Paraderos,196,Gustavo Sevillano,Junior Lozano
NPT-198,-8.101716423037482,-79.03585458523476,Puntos_Paraderos,197,Andres Cucho,Junior Lozano
NPT-199,-8.101080809700113,-79.03643972706392,Puntos_Paraderos,198,Andres Cucho,Junior Lozano
NPT-200,-8.096814940425327,-79.03836328221183,Puntos_Paraderos,199,Gustavo Sevillano,Junior Lozano
NPT-201,-8.09201045377985,-79.04051135015571,Puntos_Paraderos,200,Gustavo Sevillano,Junior Lozano
NPT-202,-8.094129908850556,-79.0395749763371,Puntos_Paraderos,201,Alfonso Castillo,Junior Lozano
NPT-203,-8.093748573101315,-79.03953861160487,Puntos_Paraderos,202,Gustavo Sevillano,Junior Lozano
NPT-204,-8.099443618797439,-79.0371447295226,Puntos_Paraderos,203,Gustavo Sevillano,Junior Lozano
NPT-205,-8.09124951557719,-79.04069812382775,Puntos_Paraderos,204,Gustavo Sevillano,Junior Lozano
NPT-206,-8.095983808802067,-79.03850545465879,Puntos_Paraderos,205,Gustavo Sevillano,Junior Lozano
NPT-207,-8.09848382275919,-79.03741592820246,Puntos_Paraderos,206,Gustavo Sevillano,Junior Lozano
NPT-208,-8.086861494662067,-79.04269160623366,Puntos_Paraderos,207,Gustavo Sevillano,Junior Lozano
NPT-209,-8.089316448761043,-79.04154943647494,Puntos_Paraderos,208,Gustavo Sevillano,Junior Lozano
NPT-210,-8.088164637395238,-79.04221694919401,Puntos_Paraderos,209,Alfonso Castillo,Junior Lozano
PACALS-87,-8.094367224712277,-79.03784528471728,Puntos_Paraderos,86,Anthony Alvarado,Junior Lozano
PACALS-88,-8.093208435308291,-79.03598756425676,Puntos_Paraderos,87,Anthony Alvarado,Junior Lozano
PACALS-89,-8.094299680195567,-79.0382243983212,Puntos_Paraderos,88,Anthony Alvarado,Junior Lozano
PACALS-90,-8.092914352330745,-79.0359181322543,Puntos_Paraderos,89,Angela Malca,Junior Lozano
PCVT-192,-8.127425866624723,-79.03019810573304,Puntos_Paraderos,191,Gustavo Sevillano,Junior Lozano
PCVT-193,-8.127166122956393,-79.03045625951724,Puntos_Paraderos,192,Chris Larco,Junior Lozano
PCVT-194,-8.13104244442577,-79.03317174807418,Puntos_Paraderos,193,Chris Larco,Junior Lozano
PCVT-195,-8.130929811817769,-79.03288247569203,Puntos_Paraderos,194,Gustavo Sevillano,Junior Lozano
PE-237,-8.106548768666652,-79.02141038392135,Puntos_Paraderos,236,Brando Acosta,Junior Lozano
PE-238,-8.106244729777185,-79.02135539940525,Puntos_Paraderos,237,Brando Acosta,Junior Lozano
PE-239,-8.104714878764824,-79.01947181745722,Puntos_Paraderos,238,Brando Acosta,Junior Lozano
PE-240,-8.104274935030265,-79.01934005535834,Puntos_Paraderos,239,Brando Acosta,Junior Lozano
PE-241,-8.102961631461191,-79.01764657634833,Puntos_Paraderos,240,Brando Acosta,Junior Lozano
PE-242,-8.10237478651502,-79.01731096419032,Puntos_Paraderos,241,Brando Acosta,Junior Lozano
PE-243,-8.100981343854592,-79.01557825059034,Puntos_Paraderos,242,Brando Acosta,Junior Lozano
PE-244,-8.100507178299653,-79.01531554218745,Puntos_Paraderos,243,Brando Acosta,Junior Lozano
PE-245,-8.099314046910184,-79.01383951712717,Puntos_Paraderos,244,Brando Acosta,Junior Lozano
PE-246,-8.097709027881505,-79.01238731116985,Puntos_Paraderos,245,Brando Acosta,Junior Lozano
PE-247,-8.097184912065504,-79.0117809217789,Puntos_Paraderos,246,Brando Acosta,Junior Lozano
PEMU-341,-8.108725203844793,-79.03541553435835,Puntos_Paraderos,340,Darwin Agreda,Junior Lozano
PEMU-342,-8.107856557297614,-79.03703760307008,Puntos_Paraderos,341,Darwin Agreda,Junior Lozano
PEMU-343,-8.1063263827281,-79.04142905399753,Puntos_Paraderos,342,Darwin Agreda,Junior Lozano
PEMU-344,-8.107097443962274,-79.0392155582395,Puntos_Paraderos,343,Darwin Agreda,Junior Lozano
PEMU-345,-8.106146813004244,-79.04390070582953,Puntos_Paraderos,344,Darwin Agreda,Junior Lozano
PESQT-404,-8.09250138790664,-79.00050890837561,Puntos_Paraderos,403,Alfonso Castillo,Junior Lozano
PESQT-405,-8.093101124418354,-78.99981720141294,Puntos_Paraderos,404,Alfonso Castillo,Junior Lozano
PESQT-406,-8.093504867130962,-78.99689868173888,Puntos_Paraderos,405,Alfonso Castillo,Junior Lozano
PESQT-407,-8.093634324106304,-78.9966116825359,Puntos_Paraderos,406,Alfonso Castillo,Junior Lozano
PESQT-408,-8.089985991405921,-79.00585558243753,Puntos_Paraderos,407,Alfonso Castillo,Junior Lozano
PFRAZ-423,-8.117602216323425,-79.0150698823607,Puntos_Paraderos,422,Cristopher Gómez,Junior Lozano
PFRAZ-424,-8.121372642363447,-79.01032615097742,Puntos_Paraderos,423,Cristopher Gómez,Junior Lozano
PFRAZ-425,-8.121177924481646,-79.01097130484574,Puntos_Paraderos,424,Cristopher Gómez,Junior Lozano
PFRAZ-426,-8.120175783090732,-79.01165291827922,Puntos_Paraderos,425,Cristopher Gómez,Junior Lozano
PFRAZ-427,-8.118820880231599,-79.01310090190633,Puntos_Paraderos,426,Cristopher Gómez,Junior Lozano
PLAT-513,-8.104647167346316,-79.0072677622457,Puntos_Paraderos,512,Alfonso Castillo,Junior Lozano
PLUN-287,-8.100051603983799,-79.01288525135958,Puntos_Paraderos,286,Angela Malca,Junior Lozano
